DATE,IM_TK,DA_TK,DA_SYSTEM_PRICE,DA_TOTAL_VOLUME,DA_BUY_VOLUME,DA_SELL_VOLUME,PRECIPITATION,RADIATION,WIND_DIRECTION,WIND_SPEED,TEMPERATURE,GAS_USD,USD_JPY,GAS_JPY,TTS,TTB,TTM
2022-11-01 00:00:00,26.04,28.01,19.68,16085100,17531500,18189050,0.0,0.0,292.5,2.2,13.0,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 00:30:00,26.25,28.0,19.41,16050150,17907350,19453000,0.0,0.0,292.5,2.2,13.0,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 01:00:00,20.91,27.69,19.2,16013500,18151200,20249600,0.0,0.0,315.0,2.3,12.8,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 01:30:00,46.67,27.01,19.2,16013850,18287700,20478250,0.0,0.0,315.0,2.3,12.8,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 02:00:00,21.41,24.64,19.21,16017600,18416450,20585050,0.0,0.0,292.5,2.2,12.2,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 02:30:00,26.38,24.01,19.52,16125000,18490500,20732650,0.0,0.0,292.5,2.2,12.2,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 03:00:00,39.47,28.0,23.99,16226750,18841700,20411300,0.0,0.0,292.5,2.3,12.6,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 03:30:00,46.67,28.0,27.76,16260850,19041350,20165000,0.0,0.0,292.5,2.3,12.6,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 04:00:00,24.39,28.01,26.94,16193700,19191600,20058100,0.0,0.0,315.0,1.8,12.7,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 04:30:00,15.75,28.01,27.76,16197650,19174650,19762200,0.0,0.0,315.0,1.8,12.7,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 05:00:00,8.04,28.29,28.01,16411550,19599200,19906200,0.0,0.0,0.0,2.4,12.8,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 05:30:00,42.94,28.16,28.01,16472650,19654900,20000600,0.0,0.0,0.0,2.4,12.8,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 06:00:00,42.94,32.38,30.0,16579250,20039750,19409850,0.0,0.0,292.5,2.7,12.7,27.54,148.77,4097.0,149.77,147.77,148.77
2022-11-01 06:30:00,24.4,30.35,30.0,16616950,20185350,19353650,0.0,0.0,292.5,2.7,12.7,27.54,148.77,4097.0,149.77,147.77,148.77
