,DATETIME,DATE,TIME,PEAK_OFFPEAK,HOKKAIDO,TOHOKU,TOKYO,CHUBU,HOKURIKU,KANSAI,CHUGOKU,SHIKOKU,KYUSHU,AMOUNT_OF_BIDS_SOLD_(KWH),AMOUNT_OF_BIDS_PURCHASED_(KWH),TOTAL_CONTRACTED_QUANTITY_(KWH)
4320,2023-04-01 00:00:00,2023-04-01,00:00:00,offpeak,16.53,14.68,14.68,14.68,5.84,5.84,5.84,5.84,5.84,17694200.0,15655300.0,13346500.0
4321,2023-04-01 00:30:00,2023-04-01,00:30:00,offpeak,13.99,13.99,13.99,13.99,9.4,9.4,9.4,9.4,9.4,19404500.0,15901400.0,13408300.0
4322,2023-04-01 01:00:00,2023-04-01,01:00:00,offpeak,11.83,11.83,11.83,11.83,10.13,10.13,10.13,10.13,10.13,20293600.0,15947500.0,13455550.0
4323,2023-04-01 01:30:00,2023-04-01,01:30:00,offpeak,11.08,11.08,11.08,11.08,10.13,10.13,10.13,10.13,10.13,20808400.0,15830300.0,13461450.0
4324,2023-04-01 02:00:00,2023-04-01,02:00:00,offpeak,11.02,11.02,11.02,11.02,10.0,10.0,10.0,10.0,5.84,20885350.0,15821750.0,13508900.0
4325,2023-04-01 02:30:00,2023-04-01,02:30:00,offpeak,10.99,10.99,10.99,10.99,10.0,10.0,10.0,10.0,5.84,20938150.0,15929450.0,13609800.0
4326,2023-04-01 03:00:00,2023-04-01,03:00:00,offpeak,11.3,11.3,11.3,11.3,10.13,10.13,10.13,10.13,6.0,20753250.0,16154200.0,13562300.0
4327,2023-04-01 03:30:00,2023-04-01,03:30:00,offpeak,11.52,11.52,11.52,11.52,10.2,10.2,10.2,10.2,7.0,20700700.0,16209350.0,13575150.0
4328,2023-04-01 04:00:00,2023-04-01,04:00:00,offpeak,13.33,13.33,13.33,13.33,12.0,12.0,12.0,12.0,7.0,20678100.0,16309100.0,13638600.0
4329,2023-04-01 04:30:00,2023-04-01,04:30:00,offpeak,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,7.0,20621350.0,16319400.0,13636700.0
4330,2023-04-01 05:00:00,2023-04-01,05:00:00,offpeak,14.23,14.23,14.23,14.23,14.23,14.23,14.23,14.23,14.23,20603300.0,16174400.0,13576050.0
4331,2023-04-01 05:30:00,2023-04-01,05:30:00,offpeak,14.59,14.59,14.59,14.59,14.59,14.59,14.59,14.59,14.59,20030900.0,15898550.0,13161100.0
4332,2023-04-01 06:00:00,2023-04-01,06:00:00,offpeak,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,19522100.0,14584850.0,12153700.0
4333,2023-04-01 06:30:00,2023-04-01,06:30:00,offpeak,11.27,11.27,11.27,11.27,9.62,9.62,9.62,9.62,9.62,20415800.0,14042500.0,11882700.0
4334,2023-04-01 07:00:00,2023-04-01,07:00:00,offpeak,10.35,10.35,10.35,10.35,5.84,5.84,5.84,5.84,5.84,22194700.0,13707900.0,12412400.0
4335,2023-04-01 07:30:00,2023-04-01,07:30:00,offpeak,5.0,6.0,6.0,3.0,0.01,0.01,0.01,0.01,0.01,25009000.0,13204550.0,12838050.0
4336,2023-04-01 08:00:00,2023-04-01,08:00:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,28177850.0,12533900.0,12533400.0
4337,2023-04-01 08:30:00,2023-04-01,08:30:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,30258700.0,12791050.0,12790550.0
4338,2023-04-01 09:00:00,2023-04-01,09:00:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,31558850.0,12640150.0,12640150.0
4339,2023-04-01 09:30:00,2023-04-01,09:30:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,32155000.0,11969550.0,11969550.0
4340,2023-04-01 10:00:00,2023-04-01,10:00:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,33668400.0,11393800.0,11393800.0
4341,2023-04-01 10:30:00,2023-04-01,10:30:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,34991000.0,11142050.0,11142050.0
