DATE,SETTLE_DOLLARS,USDJPY,JPY_MMBTU
2023-10-02 00:00:00,14.395,149.58,2153
2023-09-29 00:00:00,14.63,149.58,2188
2023-09-28 00:00:00,14.76,149.65,2209
2023-09-27 00:00:00,14.595,149.08,2176
2023-09-26 00:00:00,14.65,148.95,2182
2023-09-25 00:00:00,14.99,148.5,2226
2023-09-22 00:00:00,14.595,147.67,2155
2023-09-21 00:00:00,14.33,148.43,2127
2023-09-20 00:00:00,14.24,147.84,2105
2023-09-19 00:00:00,14.25,147.73,2105
2023-09-18 00:00:00,13.99,147.62,2065
2023-09-15 00:00:00,13.329,147.62,1968
2023-09-14 00:00:00,13.365,147.17,1967
2023-09-13 00:00:00,13.39,147.32,1973
2023-09-12 00:00:00,13.39,146.72,1965
2023-09-11 00:00:00,13.385,146.97,1967
2023-09-08 00:00:00,13.33,147.01,1960
2023-09-07 00:00:00,13.32,147.94,1971
2023-09-06 00:00:00,13.21,147.86,1953
2023-09-05 00:00:00,13.24,146.56,1940
2023-09-01 00:00:00,13.395,145.73,1952
2023-08-31 00:00:00,13.2,146.2,1930
2023-08-30 00:00:00,13.405,146.05,1958
2023-08-29 00:00:00,13.395,146.53,1963
2023-08-28 00:00:00,13.46,146.55,1973
2023-08-25 00:00:00,13.46,146.22,1968
2023-08-24 00:00:00,12.92,144.86,1872
2023-08-23 00:00:00,13.735,145.72,2001
2023-08-22 00:00:00,14.3,146.27,2092
2023-08-21 00:00:00,14.3,145.33,2078
2023-08-18 00:00:00,13.95,145.71,2033
2023-08-17 00:00:00,14.16,146.49,2074
2023-08-16 00:00:00,14.32,145.72,2087
2023-08-15 00:00:00,11.205,145.6,1631
2023-08-14 00:00:00,11.145,145.11,1617
2023-08-11 00:00:00,11.085,143.96,1596
2023-08-10 00:00:00,11.045,143.96,1590
2023-08-09 00:00:00,11.03,143.46,1582
2023-08-08 00:00:00,10.955,143.06,1567
2023-08-07 00:00:00,10.98,141.7,1556
2023-08-04 00:00:00,10.955,142.88,1565
2023-08-03 00:00:00,11.0,143.47,1578
2023-08-02 00:00:00,10.97,143.23,1571
2023-08-01 00:00:00,10.925,142.45,1556
2023-07-31 00:00:00,10.92,140.97,1539
2023-07-28 00:00:00,10.78,139.53,1504
2023-07-27 00:00:00,10.97,140.34,1540
2023-07-26 00:00:00,11.1,141.11,1566
2023-07-25 00:00:00,11.46,141.58,1623
2023-07-24 00:00:00,11.26,141.83,1597
2023-07-21 00:00:00,10.885,140.09,1525
2023-07-20 00:00:00,10.92,139.7,1526
2023-07-19 00:00:00,10.745,139.04,1494
2023-07-18 00:00:00,11.02,138.88,1530
2023-07-17 00:00:00,10.56,138.04,1458
2023-07-14 00:00:00,11.869,138.04,1638
2023-07-13 00:00:00,11.91,138.68,1652
2023-07-12 00:00:00,11.975,139.89,1675
2023-07-11 00:00:00,12.02,141.46,1700
2023-07-10 00:00:00,12.06,142.54,1719
2023-07-07 00:00:00,12.085,144.15,1742
2023-07-06 00:00:00,12.075,144.44,1744
2023-07-05 00:00:00,12.1,144.56,1749
2023-07-03 00:00:00,12.08,144.51,1746
2023-06-30 00:00:00,12.24,144.99,1775
2023-06-29 00:00:00,12.12,144.35,1750
2023-06-28 00:00:00,12.02,143.87,1729
2023-06-27 00:00:00,12.07,143.63,1734
2023-06-26 00:00:00,11.79,143.49,1692
2023-06-23 00:00:00,11.835,143.17,1694
2023-06-22 00:00:00,12.065,141.97,1713
2023-06-21 00:00:00,12.475,141.65,1767
2023-06-20 00:00:00,12.74,142.23,1812
2023-06-16 00:00:00,11.2,140.32,1572
2023-06-15 00:00:00,9.584,140.39,1345
2023-06-14 00:00:00,9.4,140.07,1317
2023-06-13 00:00:00,9.3,139.7,1299
2023-06-12 00:00:00,9.265,139.43,1292
2023-06-09 00:00:00,9.25,139.15,1287
2023-06-08 00:00:00,9.21,140.0,1289
2023-06-07 00:00:00,9.235,139.51,1288
2023-06-06 00:00:00,9.21,139.6,1286
2023-06-05 00:00:00,9.265,140.18,1299
2023-06-02 00:00:00,9.285,138.99,1291
2023-06-01 00:00:00,9.265,139.19,1290
2023-05-31 00:00:00,9.285,139.77,1298
2023-05-30 00:00:00,9.365,140.27,1314
2023-05-26 00:00:00,9.235,139.89,1292
2023-05-25 00:00:00,9.35,139.54,1305
2023-05-24 00:00:00,9.58,138.63,1328
2023-05-23 00:00:00,9.735,138.48,1348
2023-05-22 00:00:00,9.755,137.72,1343
2023-05-19 00:00:00,9.84,138.41,1362
2023-05-18 00:00:00,9.715,137.62,1337
2023-05-17 00:00:00,9.945,136.49,1357
2023-05-16 00:00:00,9.855,136.05,1341
2023-05-15 00:00:00,11.049,136.05,1503
2023-05-12 00:00:00,11.115,134.63,1496
2023-05-11 00:00:00,11.16,134.18,1497
2023-05-10 00:00:00,11.21,135.15,1515
2023-05-09 00:00:00,11.24,135.33,1521
2023-05-08 00:00:00,11.315,135.14,1529
2023-05-05 00:00:00,11.315,137.67,1558
2023-05-04 00:00:00,11.31,137.67,1557
2023-05-03 00:00:00,11.5,137.67,1583
2023-05-02 00:00:00,11.495,137.67,1583
2023-05-01 00:00:00,11.55,136.84,1581
2023-04-28 00:00:00,11.55,134.13,1549
2023-04-27 00:00:00,11.595,133.72,1550
2023-04-26 00:00:00,11.64,133.8,1557
2023-04-25 00:00:00,11.845,134.34,1591
2023-04-24 00:00:00,11.875,134.12,1593
2023-04-21 00:00:00,11.88,134.32,1596
2023-04-20 00:00:00,12.235,134.92,1651
2023-04-19 00:00:00,12.245,134.13,1642
2023-04-18 00:00:00,12.85,134.47,1728
2023-04-17 00:00:00,12.49,133.89,1672
2023-04-14 00:00:00,12.593,132.6,1670
2023-04-13 00:00:00,12.605,133.32,1680
2023-04-12 00:00:00,12.625,133.78,1689
2023-04-11 00:00:00,12.57,133.48,1678
2023-04-10 00:00:00,12.625,132.62,1674
2023-04-06 00:00:00,12.625,131.19,1656
2023-04-05 00:00:00,12.68,131.57,1668
2023-04-04 00:00:00,13.16,132.62,1745
2023-04-03 00:00:00,12.75,133.15,1698
2023-03-31 00:00:00,13.515,133.53,1805
2023-03-30 00:00:00,12.7,132.55,1683
2023-03-29 00:00:00,12.535,131.28,1646
2023-03-28 00:00:00,12.505,130.66,1634
2023-03-27 00:00:00,12.525,130.65,1636
2023-03-24 00:00:00,12.7,130.65,1659
2023-03-23 00:00:00,13.335,130.92,1746
2023-03-22 00:00:00,12.64,132.54,1675
2023-03-21 00:00:00,13.645,132.68,1810
2023-03-20 00:00:00,13.155,132.68,1745
