DATE,DAY_OF_THE_WEEK,TTS,TTB,TTM
2020-01-01 00:00:00,Wednesday,,,
2020-01-02 00:00:00,Thursday,,,
2020-01-03 00:00:00,Friday,,,
2020-01-04 00:00:00,Saturday,,,
2020-01-05 00:00:00,Sunday,,,
2020-01-06 00:00:00,Monday,109.11,107.11,108.11
2020-01-07 00:00:00,Thuesday,109.44,107.44,108.44
2020-01-08 00:00:00,Wednesday,108.83,106.83,107.83
2020-01-09 00:00:00,Thursday,110.24,108.24,109.24
2020-01-10 00:00:00,Friday,110.57,108.57,109.57
2020-01-11 00:00:00,Saturday,,,
2020-01-12 00:00:00,Sunday,,,
2020-01-13 00:00:00,Monday,,,
2020-01-14 00:00:00,Thuesday,111.16,109.16,110.16
2020-01-15 00:00:00,Wednesday,110.95,108.95,109.95
2020-01-16 00:00:00,Thursday,110.95,108.95,109.95
2020-01-17 00:00:00,Friday,111.33,109.33,110.33
2020-01-18 00:00:00,Saturday,,,
2020-01-19 00:00:00,Sunday,,,
2020-01-20 00:00:00,Monday,111.19,109.19,110.19
2020-01-21 00:00:00,Thuesday,111.24,109.24,110.24
2020-01-22 00:00:00,Wednesday,110.91,108.91,109.91
2020-01-23 00:00:00,Thursday,110.72,108.72,109.72
2020-01-24 00:00:00,Friday,110.59,108.59,109.59
2020-01-25 00:00:00,Saturday,,,
2020-01-26 00:00:00,Sunday,,,
2020-01-27 00:00:00,Monday,110.06,108.06,109.06
2020-01-28 00:00:00,Thuesday,109.87,107.87,108.87
2020-01-29 00:00:00,Wednesday,110.08,108.08,109.08
2020-01-30 00:00:00,Thursday,110.01,108.01,109.01
2020-01-31 00:00:00,Friday,110.06,108.06,109.06
2020-02-01 00:00:00,Saturday,,,
2020-02-02 00:00:00,Sunday,,,
2020-02-03 00:00:00,Monday,109.52,107.52,108.52
2020-02-04 00:00:00,Thuesday,109.61,107.61,108.61
2020-02-05 00:00:00,Wednesday,110.46,108.46,109.46
2020-02-06 00:00:00,Thursday,110.86,108.86,109.86
2020-02-07 00:00:00,Friday,110.92,108.92,109.92
2020-02-08 00:00:00,Saturday,,,
2020-02-09 00:00:00,Sunday,,,
2020-02-10 00:00:00,Monday,110.67,108.67,109.67
2020-02-11 00:00:00,Thuesday,,,
2020-02-12 00:00:00,Wednesday,110.85,108.85,109.85
2020-02-13 00:00:00,Thursday,110.91,108.91,109.91
2020-02-14 00:00:00,Friday,110.89,108.89,109.89
2020-02-15 00:00:00,Saturday,,,
2020-02-16 00:00:00,Sunday,,,
2020-02-17 00:00:00,Monday,110.8,108.8,109.8
2020-02-18 00:00:00,Thuesday,110.86,108.86,109.86
2020-02-19 00:00:00,Wednesday,110.94,108.94,109.94
