DATE,LOCATION,PRECIPITATION,RADIATION,WIND_DIRECTION,WIND_SPEED,TEMPERATURE
1/1/2023 0:00,Osaka,0,0,SW,1.8,7.4
1/1/2023 0:00,Tokyo,0,0,NW,1.8,3.8
1/1/2023 10:00,Osaka,0,1.01,WSW,4,8.3
1/1/2023 10:00,Tokyo,0,1.43,NW,1.4,8.5
1/1/2023 11:00,Osaka,0,1.73,WSW,4.6,9.9
1/1/2023 11:00,Tokyo,0,1.81,WSW,1,10.9
1/1/2023 12:00,Osaka,0,1.95,WSW,5.1,10.3
1/1/2023 12:00,Tokyo,0,1.98,WNW,1.3,11
1/1/2023 13:00,Osaka,0,1.94,SW,4.5,10.1
1/1/2023 13:00,Tokyo,0,1.92,SW,1.5,11.9
1/1/2023 14:00,Osaka,0,1.82,WSW,4.1,10.2
1/1/2023 14:00,Tokyo,0,1.63,S,1.5,12.6
1/1/2023 15:00,Osaka,0,0.8,WSW,4.1,9.4
1/1/2023 15:00,Tokyo,0,1.14,S,2.8,11
1/1/2023 16:00,Osaka,0,0.42,SW,3.9,9
1/1/2023 16:00,Tokyo,0,0.52,S,3.1,10.3
1/1/2023 17:00,Osaka,0,0.16,SW,3,9.2
1/1/2023 17:00,Tokyo,0,0.07,S,2.8,8.3
1/1/2023 18:00,Osaka,0,0,S,1.3,9.2
1/1/2023 18:00,Tokyo,0,0,S,2.7,7.7
1/1/2023 19:00,Osaka,0,0,SW,1.9,9.1
1/1/2023 19:00,Tokyo,0,0,SSW,1.7,7.5
1/1/2023 1:00,Osaka,0,0,SW,2.2,7
1/1/2023 1:00,Tokyo,0,0,NW,1,3.5
1/1/2023 20:00,Osaka,0,0,W,2.4,8.8
1/1/2023 20:00,Tokyo,0,0,SW,1.5,6.6
1/1/2023 21:00,Osaka,0,0,W,2.5,8.4
1/1/2023 21:00,Tokyo,0,0,W,1.4,6.8
1/1/2023 22:00,Osaka,0,0,W,2.2,8.1
1/1/2023 22:00,Tokyo,0,0,NW,2.1,6.4
1/1/2023 23:00,Osaka,0,0,W,3.4,7.8
1/1/2023 23:00,Tokyo,0,0,NW,2.7,6.2
1/1/2023 2:00,Osaka,0,0,WSW,2,6.5
1/1/2023 2:00,Tokyo,0,0,NNW,1.3,3.2
1/1/2023 3:00,Osaka,0,0,SW,2,6.4
1/1/2023 3:00,Tokyo,0,0,NNW,0.9,3.4
1/1/2023 4:00,Osaka,0,0,WSW,2.1,6.3
1/1/2023 4:00,Tokyo,0,0,NNW,1.4,3.2
1/1/2023 5:00,Osaka,0,0,W,2.9,5.9
1/1/2023 5:00,Tokyo,0,0,WNW,1.4,1.8
1/1/2023 6:00,Osaka,0,0,WSW,2.9,6.3
1/1/2023 6:00,Tokyo,0,0,W,0.7,1.6
1/1/2023 7:00,Osaka,0,0,WSW,2.4,6
1/1/2023 7:00,Tokyo,0,0,WNW,1.2,1.3
1/1/2023 8:00,Osaka,0,0.09,SW,2.6,6.1
1/1/2023 8:00,Tokyo,0,0.25,SW,0.6,2.9
1/1/2023 9:00,Osaka,0,0.56,SW,3.8,6.9
1/1/2023 9:00,Tokyo,0,0.9,SSE,0.9,6.4
1/10/2023 0:00,Osaka,0.5,0,NW,3,9.6
1/10/2023 0:00,Tokyo,0,0,WNW,2,7.4
1/10/2023 10:00,Osaka,0,0.94,NW,2,7.1
1/10/2023 10:00,Tokyo,0,1.48,WNW,5.3,8.1
1/10/2023 11:00,Osaka,0,1.12,NNW,3.8,7
1/10/2023 11:00,Tokyo,0,1.84,NW,4.9,8.5
1/10/2023 12:00,Osaka,0,1.18,NW,3.3,7.7
1/10/2023 12:00,Tokyo,0,2.05,NW,6.2,9.3
1/10/2023 13:00,Osaka,0,1.03,NW,4,8.3
1/10/2023 13:00,Tokyo,0,1.96,NW,5.7,8.9
1/10/2023 14:00,Osaka,0,1.21,N,3.8,8
1/10/2023 14:00,Tokyo,0,1.69,NNW,4.4,8.7
1/10/2023 15:00,Osaka,0,1.22,N,4.9,8.2
1/10/2023 15:00,Tokyo,0,1.24,NW,4.7,7.5
1/10/2023 16:00,Osaka,0,0.73,NNW,5.6,7.3
1/10/2023 16:00,Tokyo,0,0.65,NW,6.8,6.6
1/10/2023 17:00,Osaka,0,0.14,NNW,3.1,7
1/10/2023 17:00,Tokyo,0,0.11,NW,5.6,6
1/10/2023 18:00,Osaka,0,0,NW,1.9,6.5
1/10/2023 18:00,Tokyo,0,0,NNW,3.3,5.3
1/10/2023 19:00,Osaka,0,0,NNW,2,6
1/10/2023 19:00,Tokyo,0,0,NW,3.9,4.9
1/10/2023 1:00,Osaka,0,0,N,3.3,9.1
1/10/2023 1:00,Tokyo,0,0,NW,6.3,8.3
1/10/2023 20:00,Osaka,0,0,N,0.9,5.8
1/10/2023 20:00,Tokyo,0,0,NW,4.1,4.6
1/10/2023 21:00,Osaka,0,0,NW,0.5,5.7
1/10/2023 21:00,Tokyo,0,0,NW,5.2,4.5
1/10/2023 22:00,Osaka,0,0,W,1.2,4.6
1/10/2023 22:00,Tokyo,0,0,N,1.3,3.3
1/10/2023 23:00,Osaka,0,0,ESE,1,4.5
1/10/2023 23:00,Tokyo,0,0,NW,3.3,4
1/10/2023 2:00,Osaka,0,0,NNW,5.1,7.9
1/10/2023 2:00,Tokyo,0,0,NW,4.3,7.3
1/10/2023 3:00,Osaka,0,0,N,4.1,7.2
1/10/2023 3:00,Tokyo,0,0,NW,4.8,6.9
1/10/2023 4:00,Osaka,0,0,NNW,2.7,6.2
1/10/2023 4:00,Tokyo,0,0,NW,5.5,6.7
1/10/2023 5:00,Osaka,0,0,N,2.9,5.6
1/10/2023 5:00,Tokyo,0,0,NNW,4.3,5.9
1/10/2023 6:00,Osaka,0,0,NW,1.9,5.3
1/10/2023 6:00,Tokyo,0,0,NW,7.5,5.7
1/10/2023 7:00,Osaka,0,0,NNW,2.5,5.3
1/10/2023 7:00,Tokyo,0,0,NW,5.6,5.5
1/10/2023 8:00,Osaka,0,0.13,NNW,0.6,5.5
1/10/2023 8:00,Tokyo,0,0.24,NNW,2.6,5.6
1/10/2023 9:00,Osaka,0,0.6,NW,1.7,6.1
1/10/2023 9:00,Tokyo,0,0.92,NW,5.1,6.6
1/11/2023 0:00,Osaka,0,0,E,0.3,3.6
1/11/2023 0:00,Tokyo,0,0,NW,3,3.3
1/11/2023 10:00,Osaka,0,0.9,N,1.6,4.3
1/11/2023 10:00,Tokyo,0,0.59,NNW,2.2,5.7
1/11/2023 11:00,Osaka,0,1.57,S,0.5,5.9
1/11/2023 11:00,Tokyo,0,1.84,NE,1.8,7.9
1/11/2023 12:00,Osaka,0,2.05,NNW,0.4,8.3
1/11/2023 12:00,Tokyo,0,2.03,ESE,1.8,8.8
1/11/2023 13:00,Osaka,0,2.07,NW,1.3,9.1
1/11/2023 13:00,Tokyo,0,1.97,ESE,1.5,10.1
1/11/2023 14:00,Osaka,0,1.84,SSW,1.7,10.1
1/11/2023 14:00,Tokyo,0,1.69,SE,1.5,10.1
1/11/2023 15:00,Osaka,0,1.43,SSW,1.8,10.6
1/11/2023 15:00,Tokyo,0,1.22,S,1.7,9.7
1/11/2023 16:00,Osaka,0,0.89,SSW,2,9.4
1/11/2023 16:00,Tokyo,0,0.62,S,1.7,9
1/11/2023 17:00,Osaka,0,0.27,SSW,2,8.3
1/11/2023 17:00,Tokyo,0,0.1,ESE,0.7,6.6
1/11/2023 18:00,Osaka,0,0,SSW,1.1,8
1/11/2023 18:00,Tokyo,0,0,SW,0.5,5.8
1/11/2023 19:00,Osaka,0,0,SSE,0.5,6.9
1/11/2023 19:00,Tokyo,0,0,SSW,0.6,6
1/11/2023 1:00,Osaka,0,0,SE,1.1,2.8
1/11/2023 1:00,Tokyo,0,0,WNW,2.6,3.4
1/11/2023 20:00,Osaka,0,0,NNE,1,6.5
1/11/2023 20:00,Tokyo,0,0,SSE,1.6,5.2
1/11/2023 21:00,Osaka,0,0,ESE,0.7,5.2
1/11/2023 21:00,Tokyo,0,0,SW,1.4,5.2
1/11/2023 22:00,Osaka,0,0,ESE,0.9,5.4
1/11/2023 22:00,Tokyo,0,0,WNW,2,5.4
1/11/2023 23:00,Osaka,0,0,ENE,0.8,4.3
1/11/2023 23:00,Tokyo,0,0,NW,1.4,4.4
1/11/2023 2:00,Osaka,0,0,E,1.1,2.2
1/11/2023 2:00,Tokyo,0,0,SSW,1.1,2.1
1/11/2023 3:00,Osaka,0,0,S,0.3,1.3
1/11/2023 3:00,Tokyo,0,0,WNW,2.2,2.3
1/11/2023 4:00,Osaka,0,0,SSE,0.6,1.9
1/11/2023 4:00,Tokyo,0,0,WNW,2.8,3
1/11/2023 5:00,Osaka,0,0,W,0.7,1.5
1/11/2023 5:00,Tokyo,0,0,WNW,2.9,2.6
1/11/2023 6:00,Osaka,0,0,E,0.8,1.3
1/11/2023 6:00,Tokyo,0,0,NNW,2.7,2.9
1/11/2023 7:00,Osaka,0,0,tranquility,0.1,1.1
1/11/2023 7:00,Tokyo,0,0,NNE,1.3,1.9
1/11/2023 8:00,Osaka,0,0.17,NE,0.3,2.1
1/11/2023 8:00,Tokyo,0,0.19,NNE,1.9,2.7
1/11/2023 9:00,Osaka,0,0.53,NNE,2.5,2.6
1/11/2023 9:00,Tokyo,0,0.43,N,1.4,4.5
1/12/2023 0:00,Osaka,0,0,N,1.1,3.8
1/12/2023 0:00,Tokyo,0,0,WNW,2,4.1
1/12/2023 10:00,Osaka,0,1.28,SSE,0.4,6.8
1/12/2023 10:00,Tokyo,0,1.46,N,0.9,7.3
1/12/2023 11:00,Osaka,0,1.67,N,0.9,9.4
1/12/2023 11:00,Tokyo,0,1.37,NW,0.8,8
1/12/2023 12:00,Osaka,0,1.93,WSW,0.9,11.1
1/12/2023 12:00,Tokyo,0,1.97,NNW,1.1,10.1
1/12/2023 13:00,Osaka,0,1.93,ENE,0.5,13.3
1/12/2023 13:00,Tokyo,0,2.13,WNW,3.4,11.8
1/12/2023 14:00,Osaka,0,1.74,SSW,1.9,14.2
1/12/2023 14:00,Tokyo,0,1.73,NW,1.8,12
1/12/2023 15:00,Osaka,0,1.37,WSW,2.2,14
1/12/2023 15:00,Tokyo,0,1.28,WNW,0.7,11.4
1/12/2023 16:00,Osaka,0,0.82,SW,2,13.7
1/12/2023 16:00,Tokyo,0,0.64,NNE,0.8,10.3
1/12/2023 17:00,Osaka,0,0.24,WSW,0.5,12.4
1/12/2023 17:00,Tokyo,0,0.13,WNW,1.2,8.3
1/12/2023 18:00,Osaka,0,0,tranquility,0.2,11.4
1/12/2023 18:00,Tokyo,0,0,WNW,0.8,6.9
1/12/2023 19:00,Osaka,0,0,W,0.5,12
1/12/2023 19:00,Tokyo,0,0,W,0.8,6.7
1/12/2023 1:00,Osaka,0,0,N,1.7,4.1
1/12/2023 1:00,Tokyo,0,0,WNW,1.5,3.2
1/12/2023 20:00,Osaka,0,0,S,1.6,10.9
1/12/2023 20:00,Tokyo,0,0,W,0.7,6.1
1/12/2023 21:00,Osaka,0,0,N,1.1,9.2
1/12/2023 21:00,Tokyo,0,0,W,1.4,6.5
1/12/2023 22:00,Osaka,0,0,N,1,8.5
1/12/2023 22:00,Tokyo,0,0,WNW,1.7,6.1
1/12/2023 23:00,Osaka,0,0,NNW,1,8.8
1/12/2023 23:00,Tokyo,0,0,NW,1.8,5.8
1/12/2023 2:00,Osaka,0,0,N,1.7,3.6
1/12/2023 2:00,Tokyo,0,0,NW,0.5,2.8
1/12/2023 3:00,Osaka,0,0,NNE,1.9,3.2
1/12/2023 3:00,Tokyo,0,0,NNW,1.7,3.5
